MJD filter mag dmag
60133.362000 i 18.9550 0.0250
60133.410000 i 19.0130 0.0240
60141.391000 i 19.0170 0.0170
60149.422000 i 19.1270 0.0200
60151.405000 i 19.1250 0.0250
60174.315000 i 19.2520 0.0210
60179.349000 i 19.2670 0.0270
60181.291000 i 19.4020 0.0250
60182.342000 i 19.3810 0.0240
60195.365000 i 19.5470 0.0240
59941.103000 r 16.0570 0.0100
59942.157000 r 16.0450 0.0070
59943.047000 r 16.3180 0.0080
59944.138000 r 16.0490 0.0080
59945.144000 r 16.1120 0.0080
59962.170000 r 16.1540 0.0070
59964.117000 r 16.1280 0.0070
59966.095000 r 16.1640 0.0090
59970.042000 r 16.1350 0.0070
59972.058000 r 16.1400 0.0070
59974.102000 r 16.1580 0.0070
59976.057000 r 16.1870 0.0080
59988.070000 r 16.2790 0.0070
59991.018000 r 16.2230 0.0090
59993.022000 r 16.2870 0.0080
59995.014000 r 16.2780 0.0090
60111.422000 r 18.5950 0.0130
60118.394000 r 18.7310 0.0450
60118.418000 r 18.6710 0.0110
60119.381000 r 18.6550 0.0100
60133.354000 r 18.8300 0.0230
60133.403000 r 18.8260 0.0170
60141.383000 r 18.9030 0.0130
60149.407000 r 18.9520 0.0160
60151.397000 r 18.9050 0.0130
60174.308000 r 19.1380 0.0160
60179.338000 r 19.1730 0.0160
60181.284000 r 19.1930 0.0170
60182.327000 r 19.2430 0.0130
60195.354000 r 19.3540 0.0130
59941.107000 u 18.1060 0.0220
59942.162000 u 18.2800 0.0380
59943.052000 u 18.3370 0.0390
59944.144000 u 18.3250 0.0410
59945.149000 u 18.5020 0.0430
59962.176000 u 19.2380 0.0370
59964.124000 u 19.3220 0.0300
59966.099000 u 19.8030 0.0810
59966.099000 u 19.8030 0.0810
59970.051000 u 19.8860 0.0430
59972.066000 u 20.0140 0.0510
59974.107000 u 20.0460 0.0830
59976.063000 u 20.0110 0.0800
59988.077000 u 20.4870 1.0860
59991.025000 u 20.4370 0.0490
59993.031000 u 20.4290 0.0690
59995.022000 u 20.6790 0.0830
60141.425000 u 22.0610 1.0860
60149.438000 u 21.0210 1.0860
60151.420000 u 21.5330 1.0860
59919.198310 U 15.6051 0.0128
59919.202090 U 15.6065 0.0119
59919.642760 U 15.5490 0.0135
59919.646550 U 15.5304 0.0113
59920.086160 U 15.4893 0.0099
59920.089970 U 15.5178 0.0115
59920.775840 U 15.4859 0.0212
59920.779620 U 15.4993 0.0193
59921.202040 U 15.4150 0.0113
59921.205830 U 15.4429 0.0132
59921.488920 U 15.4610 0.0096
59921.492700 U 15.4517 0.0098
59921.790620 U 15.5018 0.0189
59921.794400 U 15.4726 0.0261
59922.567480 U 15.4120 0.0135
59922.571270 U 15.4079 0.0128
59922.830070 U 15.4642 0.0198
59922.833850 U 15.5096 0.0227
59923.008320 U 15.4133 0.0250
59923.012100 U 15.4023 0.0242
59923.477390 U 15.4062 0.0078
59923.481180 U 15.4180 0.0072
59924.179630 U 15.4526 0.0099
59924.183410 U 15.4364 0.0085
59924.886460 U 15.4646 0.0106
59924.890280 U 15.4615 0.0097
59925.187340 U 15.4644 0.0097
59925.191130 U 15.4701 0.0095
59925.625320 U 15.5185 0.0091
59925.629110 U 15.5421 0.0100
59926.616760 U 15.5799 0.0095
59926.620550 U 15.5730 0.0103
59928.581600 U 15.6853 0.0078
59928.585380 U 15.6727 0.0096
59931.540850 U 15.8946 0.0128
59931.544630 U 15.8760 0.0273
59933.055920 U 16.1410 0.0118
59934.145870 U 16.2750 0.0248
59935.848880 U 16.6594 0.0410
59937.897020 U 16.7618 0.0189
59939.871770 U 17.0744 0.0404
59941.809680 U 17.3296 0.0471
59943.784770 U 17.4500 0.0620
59944.847430 U 17.4927 0.0606
59945.859230 U 17.6884 0.0740
59945.918950 U 17.7505 0.0696
59947.109160 U 17.6647 0.0293
59950.923480 U 17.8340 0.1329
59954.834010 U 18.1957 0.0640
59958.538090 U 18.2481 0.0574
59963.032630 U 18.4903 0.0459
59967.124960 U 18.7129 0.0526
59970.428040 U 18.7477 0.0894
59975.035570 U 18.8696 0.1306
59978.476750 U 18.9141 0.2156
59979.830260 U 18.9247 0.1234
59983.433400 U 19.0085 0.1034
59987.053850 U 19.0236 0.0754
59991.456500 U 19.0768 0.1145
59995.021570 U 19.1082 0.0884
59999.428980 U 19.1268 0.1104
60003.415700 U 19.2744 0.1965
60007.410090 U 19.2964 0.3339
60011.398890 U 19.3929 0.1835
60017.000150 U 19.3798 0.1105
59919.341149 UVM2 14.4008 0.0236
59919.666420 UVM2 14.2918 0.0372
59919.880350 UVM2 14.3147 0.0259
59920.432236 UVM2 14.3619 0.0262
59920.743633 UVM2 14.3615 0.0328
59921.395435 UVM2 14.5767 0.0269
59922.460929 UVM2 14.8005 0.0286
59922.791988 UVM2 14.8590 0.0286
59923.176888 UVM2 15.0341 0.0297
59923.519162 UVM2 15.1045 0.0301
59924.376871 UVM2 15.3809 0.0333
59924.641416 UVM2 15.4825 0.0345
59925.469096 UVM2 15.7661 0.0441
59926.798215 UVM2 16.2682 0.0433
59927.425389 UVM2 16.4749 0.0614
59928.148367 UVM2 16.6190 0.0807
59930.472465 UVM2 17.3952 0.0916
59931.468151 UVM2 17.8395 0.1499
59932.726243 UVM2 18.0073 0.1238
59933.458915 UVM2 17.8766 0.1051
59934.747711 UVM2 18.0454 0.1319
59935.675736 UVM2 18.1630 0.1742
59919.326235 UVW1 14.5547 0.0336
59919.735615 UVW1 14.5472 0.0235
59919.869003 UVW1 14.5044 0.0326
59920.427801 UVW1 14.5809 0.0276
59920.736502 UVW1 14.5263 0.0351
59921.381973 UVW1 14.5956 0.0288
59922.447416 UVW1 14.7368 0.0297
59922.778395 UVW1 14.7364 0.0298
59923.169488 UVW1 14.8442 0.0306
59923.511279 UVW1 14.8367 0.0303
59924.363352 UVW1 15.1035 0.0340
59924.627751 UVW1 15.1702 0.0349
59925.463972 UVW1 15.3542 0.0430
59926.790651 UVW1 15.6776 0.0409
59927.486974 UVW1 15.8917 0.0526
59928.141849 UVW1 15.9693 0.0693
59929.744400 UVW1 16.4088 0.0631
59930.460455 UVW1 16.8068 0.0826
59931.461079 UVW1 16.9607 0.1181
59932.719624 UVW1 17.4373 0.1172
59933.453367 UVW1 17.3564 0.1020
59934.741078 UVW1 17.5814 0.1249
59935.670974 UVW1 17.7056 0.1757
59919.331028 UVW2 14.3164 0.0240
59919.739490 UVW2 14.3070 0.0192
59919.873791 UVW2 14.2685 0.0238
59920.429995 UVW2 14.4726 0.0224
59920.740049 UVW2 14.6092 0.0289
59921.388023 UVW2 14.8406 0.0256
59922.453638 UVW2 15.2220 0.0289
59922.784542 UVW2 15.3307 0.0301
59923.172937 UVW2 15.3699 0.0299
59923.515001 UVW2 15.4888 0.0298
59924.369552 UVW2 15.7371 0.0355
59924.634014 UVW2 15.7743 0.0358
59925.466325 UVW2 15.9497 0.0452
59926.794026 UVW2 16.3998 0.0456
59927.420390 UVW2 16.3616 0.0544
59928.144928 UVW2 16.5676 0.0736
59929.750136 UVW2 17.1685 0.0772
59930.465980 UVW2 17.3183 0.0878
59931.464278 UVW2 17.5376 0.1271
59919.327674 U_S 15.0914 0.0416
59919.737054 U_S 15.0421 0.0294
59919.870438 U_S 14.9019 0.0383
59920.428575 U_S 14.9821 0.0375
59920.737683 U_S 14.9040 0.0469
59921.383985 U_S 14.9343 0.0385
59922.449482 U_S 14.9628 0.0383
59922.780442 U_S 14.9738 0.0384
59923.170600 U_S 14.9802 0.0379
59923.512483 U_S 14.9376 0.0361
59924.365417 U_S 15.0341 0.0398
59924.629831 U_S 15.0252 0.0392
59925.464729 U_S 15.0522 0.0450
59926.791960 U_S 15.2327 0.0408
59927.417440 U_S 15.1924 0.0475
59928.142868 U_S 15.2735 0.0575
59929.746309 U_S 15.4724 0.0478
59930.462292 U_S 15.6848 0.0544
59931.462139 U_S 15.7660 0.0701
59932.720933 U_S 16.1395 0.0646
59933.454264 U_S 16.2397 0.0653
59934.742281 U_S 16.4942 0.0789
59935.671640 U_S 16.9173 0.1315
59936.628008 U_S 16.8206 0.0957
59937.329752 U_S 16.9750 0.1147
59938.321053 U_S 17.1845 0.1127
59939.677000 U_S 17.0907 0.1050
59940.481864 U_S 17.0193 0.1116
59941.363689 U_S 17.2905 0.1277
59944.638767 U_S 17.5498 0.1666
59946.301566 U_S 17.4869 0.1537
59919.160320 V 16.5677 0.0720
59919.211500 V 16.6363 0.0116
59919.213190 V 16.6255 0.0121
59919.234960 V 16.6315 0.0719
59919.279350 V 16.5517 0.0801
59919.620150 V 16.6166 0.1897
59919.636510 V 16.5726 0.1736
59919.655960 V 16.5085 0.0109
59919.657680 V 16.5137 0.0082
59919.669880 V 16.5152 0.1327
59919.693940 V 16.5444 0.1220
59919.733070 V 16.4194 0.2793
59920.034610 V 16.4528 0.0893
59920.084430 V 16.4695 0.0681
59920.099420 V 16.4840 0.0153
59920.101110 V 16.4633 0.0141
59920.120120 V 16.4086 0.0544
59920.187810 V 16.3460 0.0600
59920.196800 V 16.3359 0.0657
59920.230510 V 16.3900 0.0581
59920.238050 V 16.3696 0.0672
59920.554790 V 16.3829 0.1681
59920.789030 V 16.3568 0.0215
59920.790720 V 16.3192 0.0190
59921.215220 V 16.3414 0.0156
59921.216930 V 16.3780 0.0224
59921.502120 V 16.3555 0.0115
59921.503830 V 16.3708 0.0105
59921.511300 V 16.3998 0.0764
59921.567090 V 16.3134 0.0819
59921.614060 V 16.2856 0.0878
59921.625510 V 16.1990 0.0991
59921.672170 V 16.1586 0.1211
59921.698000 V 16.1761 0.1046
59921.803770 V 16.1746 0.0602
59921.805470 V 16.1672 0.0314
59922.511910 V 16.1405 0.0430
59922.559910 V 16.1873 0.0654
59922.580680 V 16.1610 0.0085
59922.582380 V 16.1693 0.0085
59922.614650 V 16.1772 0.0761
59922.631670 V 16.1990 0.1061
59922.740930 V 16.1905 0.1339
59922.781410 V 16.1728 0.1506
59922.843140 V 16.2370 0.0164
59923.021510 V 16.2172 0.0230
59923.023210 V 16.1801 0.0179
59923.490600 V 16.2134 0.0067
59923.492310 V 16.2080 0.0067
59923.573200 V 16.1898 0.0466
59923.652280 V 16.2371 0.0411
59923.660790 V 16.2131 0.0536
59923.691820 V 16.1820 0.0562
59923.712410 V 16.1517 0.0576
59923.751140 V 16.1564 0.0617
59924.192800 V 16.1224 0.0082
59924.194490 V 16.1095 0.0083
59924.556250 V 16.1527 0.0345
59924.637010 V 16.1243 0.0357
59924.656080 V 16.1782 0.0642
59924.684150 V 16.1646 0.0596
59924.697950 V 16.1156 0.0525
59924.899690 V 16.1750 0.0086
59925.200540 V 16.1944 0.0197
59925.202230 V 16.1717 0.0097
59925.513620 V 16.1904 0.1014
59925.536020 V 16.1102 0.1007
59925.560350 V 16.1516 0.1097
59925.638510 V 16.2064 0.0085
59925.640230 V 16.1963 0.0085
59925.712150 V 16.1938 0.1108
59926.031420 V 16.1536 0.0333
59926.041810 V 16.1932 0.0486
59926.135450 V 16.1649 0.0367
59926.175670 V 16.1454 0.0352
59926.250920 V 16.1750 0.0477
59926.297180 V 16.1379 0.0567
59926.514720 V 16.1553 0.0462
59926.540210 V 16.1847 0.0286
59926.629980 V 16.2080 0.0075
59926.631700 V 16.1911 0.0078
59926.632840 V 16.1766 0.0400
59926.693210 V 16.1863 0.0877
59927.207560 V 16.1916 0.1075
59927.228550 V 16.1286 0.1159
59927.261780 V 16.1902 0.1018
59927.293970 V 16.1746 0.1342
59927.704120 V 16.2083 0.0653
59928.096900 V 16.1575 0.0331
59928.122490 V 16.1871 0.0354
59928.133310 V 16.2192 0.0358
59928.223930 V 16.2074 0.0248
59928.268060 V 16.2140 0.0358
59928.296950 V 16.2181 0.0428
59928.686460 V 16.1635 0.1460
59929.243630 V 16.2131 0.1306
59929.302880 V 16.2191 0.0418
59930.040410 V 16.1415 0.0311
59930.047940 V 16.1706 0.0346
59930.059730 V 16.1632 0.0276
59930.192660 V 16.1374 0.0313
59930.200930 V 16.1690 0.0421
59930.261460 V 16.1609 0.0499
59930.518850 V 16.1460 0.0366
59930.619900 V 16.1891 0.0468
59930.696520 V 16.1368 0.0460
59931.185000 V 16.1638 0.0383
59931.554050 V 16.1645 0.0067
59931.555750 V 16.1648 0.0064
59931.575890 V 16.1177 0.0417
59931.668060 V 16.1361 0.0502
59932.078390 V 16.0958 0.0389
59932.141920 V 16.0830 0.0362
59932.228510 V 16.1140 0.0370
59933.086490 V 16.0649 0.0391
59933.133610 V 16.0914 0.0252
59933.222320 V 16.1136 0.0264
59933.276810 V 16.1576 0.0365
59934.150560 V 16.1756 0.0107
59934.222310 V 16.1630 0.0240
59934.248200 V 16.1742 0.0427
59935.129270 V 16.1092 0.0415
59935.137030 V 16.1500 0.0283
59935.179640 V 16.1291 0.0275
59935.225340 V 16.1378 0.0395
59935.232860 V 16.1283 0.0433
59936.086640 V 16.1596 0.0339
59936.135690 V 16.1120 0.0431
59936.187020 V 16.1201 0.0286
59936.240230 V 16.1221 0.0317
59937.032620 V 16.1682 0.0379
59937.163700 V 16.1469 0.0348
59937.901710 V 16.2098 0.0079
59938.112330 V 16.1726 0.0401
59938.154630 V 16.2080 0.0361
59938.235120 V 16.1929 0.0361
59939.132210 V 16.1531 0.0394
59939.175070 V 16.1696 0.0370
59939.235430 V 16.1432 0.0312
59940.058730 V 16.2012 0.0353
59940.108740 V 16.1795 0.0386
59940.133760 V 16.1842 0.0444
59940.182290 V 16.1471 0.0381
59940.232040 V 16.1913 0.0359
59940.519230 V 16.1664 0.1097
59940.693800 V 16.1917 0.1639
59941.037830 V 16.2084 0.0400
59941.087450 V 16.1904 0.0324
59941.113140 V 16.2905 0.0153
59941.157970 V 16.2487 0.0327
59941.203460 V 16.1765 0.0256
59941.681030 V 16.0957 0.1426
59942.037320 V 16.2059 0.0429
59942.157150 V 16.2226 0.0402
59942.197960 V 16.1980 0.0371
59942.254470 V 16.2644 0.0385
59942.519760 V 16.2027 0.0692
59943.055150 V 16.2265 0.0140
59943.084040 V 16.2537 0.0475
59943.169660 V 16.2252 0.0565
59943.194160 V 16.2165 0.0404
59943.254010 V 16.2452 0.0376
59943.519890 V 16.2267 0.0503
59944.091730 V 16.2316 0.0436
59944.121880 V 16.2982 0.0696
59944.146260 V 16.2754 0.0148
59944.191100 V 16.2482 0.0523
59944.520060 V 16.2471 0.0901
59944.688100 V 16.2659 0.0491
59945.094110 V 16.2717 0.1884
59945.152310 V 16.2400 0.0154
59945.154590 V 16.2250 0.2278
59945.204600 V 16.2382 0.2259
59945.253610 V 16.2524 0.2198
59945.520020 V 16.2515 0.1191
59945.655530 V 16.2958 0.1761
59946.104390 V 16.2067 0.0555
59946.165980 V 16.2486 0.0560
59947.067440 V 16.2431 0.0679
59947.117610 V 16.3000 0.0638
59948.099660 V 16.3330 0.0586
59948.140430 V 16.3306 0.0728
59948.173560 V 16.3308 0.0726
59948.244550 V 16.3648 0.0847
59950.928160 V 16.3488 0.0193
59954.838690 V 16.4003 0.0147
59956.148970 V 16.4588 0.0514
59957.148930 V 16.4319 0.1994
59958.106460 V 16.4224 0.1817
59958.542790 V 16.4333 0.0075
59959.077940 V 16.4214 0.1407
59960.108410 V 16.4521 0.0433
59963.037320 V 16.4501 0.0088
59963.189270 V 16.4418 0.1657
59964.132720 V 16.4382 0.0131
59966.101820 V 16.4538 0.0161
59967.129660 V 16.4556 0.0177
59970.058970 V 16.4585 0.0134
59970.432730 V 16.4832 0.0118
59972.075440 V 16.4862 0.0142
59974.115370 V 16.5069 0.0146
59974.146240 V 16.5058 0.0751
59974.553930 V 16.5081 0.0863
59975.040250 V 16.5288 0.0106
59975.145860 V 16.5232 0.0867
59976.070360 V 16.5260 0.0150
59977.117170 V 16.5277 0.0804
59978.030010 V 16.5268 0.0769
59978.481470 V 16.5408 0.0103
59979.837060 V 16.5110 0.0124
59983.440190 V 16.5458 0.0085
59987.060620 V 16.5805 0.0104
59991.036530 V 16.6042 0.0131
59991.463290 V 16.6437 0.0119
59993.042850 V 16.6724 0.0133
59995.028320 V 16.6691 0.0087
59995.029980 V 16.6796 0.0134
59999.435740 V 16.6915 0.0096
60003.422480 V 16.7441 0.0106
60007.416880 V 16.8086 0.0124
60011.405660 V 16.8915 0.0114
60017.006930 V 17.0068 0.0149
59919.333394 V_S 16.5493 0.1219
59919.730861 V_S 16.5361 0.0884
59919.876156 V_S 16.4836 0.1173
59920.431148 V_S 16.3362 0.0962
59920.741789 V_S 16.2905 0.1333
59921.391016 V_S 16.2855 0.0992
59922.456714 V_S 16.2841 0.1001
59922.787587 V_S 16.2759 0.1012
59923.174567 V_S 16.2188 0.0918
59923.516777 V_S 16.1579 0.0847
59924.372624 V_S 16.1464 0.0914
59924.637118 V_S 16.4345 0.1122
59925.467437 V_S 16.3110 0.1216
59926.796043 V_S 16.1679 0.0863
59927.422573 V_S 16.1692 0.1096
59928.146437 V_S 16.2517 0.1410
59929.752980 V_S 16.2007 0.0985
59930.468721 V_S 16.2248 0.1018
59931.465845 V_S 15.8685 0.0982
59932.724684 V_S 16.2537 0.0970
59933.457218 V_S 16.1441 0.0859
59934.745974 V_S 16.1664 0.0924
59935.674074 V_S 16.2411 0.1220
59936.635243 V_S 16.3518 0.1056
59937.233570 V_S 16.5539 0.2190
59938.028883 V_S 16.3864 0.1893
59939.681544 V_S 16.2810 0.0895
59940.150999 V_S 16.1639 0.1251
59941.368148 V_S 16.2074 0.0863
59944.645914 V_S 16.2515 0.0967
59946.308762 V_S 16.4789 0.1183
59929.152023 c 16.2230 0.0120
59929.155177 c 16.2550 0.0130
59929.161033 c 16.2540 0.0140
59929.175437 c 16.1800 0.0120
59930.123382 c 16.2040 0.0140
59930.126534 c 16.2200 0.0120
59930.135961 c 16.2190 0.0130
59919.161530 g 16.5235 0.0471
59919.203000 g 16.5270 0.0280
59919.203119 g 16.5368 0.0331
59919.215090 g 16.5077 0.0120
59919.217710 g 16.5227 0.0123
59919.236170 g 16.5036 0.0583
59919.280790 g 16.5032 0.0652
59919.299860 g 16.5125 0.0188
59919.300000 g 16.5000 0.0160
59919.595894 g 16.5177 0.0163
59919.596000 g 16.5110 0.0130
59919.608573 g 16.5194 0.0160
59919.609000 g 16.5100 0.0120
59919.621380 g 16.5170 0.0918
59919.637750 g 16.5010 0.1425
59919.659570 g 16.5094 0.0108
59919.662200 g 16.4978 0.0093
59919.671120 g 16.4979 0.1813
59919.695190 g 16.4857 0.1903
59919.734290 g 16.5020 0.1123
59919.779550 g 16.5091 0.1766
59919.791632 g 16.5172 0.0252
59919.792000 g 16.5140 0.0230
59920.035820 g 16.4994 0.0638
59920.061000 g 16.4770 0.0130
59920.061446 g 16.4307 0.0169
59920.085650 g 16.4431 0.0601
59920.102980 g 16.4005 0.0151
59920.105590 g 16.4458 0.0156
59920.121330 g 16.4060 0.0603
59920.189020 g 16.4211 0.0721
59920.198020 g 16.4278 0.0648
59920.218000 g 16.4330 0.0150
59920.218488 g 16.4336 0.0177
59920.231720 g 16.4046 0.0641
59920.239270 g 16.4047 0.0528
59920.670471 g 16.3700 0.0364
59920.679862 g 16.3763 0.0226
59920.680000 g 16.4000 0.0200
59920.792600 g 16.3702 0.0190
59920.795220 g 16.4056 0.0204
59920.877000 g 16.3400 0.0210
59920.877170 g 16.3566 0.0250
59921.068000 g 16.3070 0.0130
59921.068178 g 16.3354 0.0165
59921.218820 g 16.3159 0.0182
59921.221450 g 16.3417 0.0110
59921.262636 g 16.3175 0.0173
59921.263000 g 16.3050 0.0140
59921.419638 g 16.3098 0.0167
59921.420000 g 16.3130 0.0130
59921.505710 g 16.3355 0.0104
59921.508340 g 16.3346 0.0109
59921.512530 g 16.3150 0.1070
59921.559549 g 16.2913 0.0162
59921.560000 g 16.3140 0.0120
59921.568330 g 16.3146 0.0901
59921.615310 g 16.3198 0.0890
59921.626750 g 16.2999 0.1086
59921.673410 g 16.3136 0.1038
59921.699240 g 16.3050 0.1058
59921.779000 g 16.3100 0.0180
59921.779397 g 16.2827 0.0208
59921.807360 g 16.2538 0.0185
59921.809980 g 16.2634 0.0141
59921.832604 g 16.2836 0.0239
59921.833000 g 16.2500 0.0210
59922.041000 g 16.2570 0.0130
59922.041029 g 16.2172 0.0165
59922.068663 g 16.2864 0.0161
59922.069000 g 16.2860 0.0130
59922.171000 g 16.2760 0.0740
59922.171038 g 16.2973 0.0816
59922.513160 g 16.3199 0.0782
59922.561140 g 16.3159 0.1108
59922.584270 g 16.2931 0.0083
59922.586910 g 16.2869 0.0083
59922.615870 g 16.3647 0.0999
59922.632900 g 16.3178 0.1150
59922.742160 g 16.3385 0.2062
59922.782630 g 16.3231 0.2059
59922.790000 g 16.2800 0.0130
59922.790190 g 16.3191 0.0168
59923.025110 g 16.3353 0.0154
59923.027720 g 16.3511 0.0128
59923.033000 g 16.3180 0.0240
59923.033060 g 16.3369 0.0264
59923.121000 g 16.3500 0.0240
59923.121348 g 16.3152 0.0269
59923.277000 g 16.3330 0.0160
59923.277263 g 16.3362 0.0185
59923.494210 g 16.3367 0.0097
59923.496840 g 16.3334 0.0091
59923.574420 g 16.3372 0.0814
59923.653510 g 16.3381 0.0876
59923.662020 g 16.3460 0.0985
59923.686000 g 16.3040 0.0130
59923.686223 g 16.3274 0.0165
59923.693060 g 16.3282 0.0880
59923.713640 g 16.2928 0.1076
59923.752360 g 16.3490 0.0958
59924.023000 g 16.3360 0.0280
59924.023487 g 16.3246 0.0301
59924.196390 g 16.2711 0.0100
59924.199020 g 16.2654 0.0116
59924.293978 g 16.3215 0.0161
59924.303000 g 16.2750 0.0120
59924.303182 g 16.3228 0.0161
59924.557470 g 16.3075 0.0833
59924.638240 g 16.3040 0.0844
59924.657310 g 16.2825 0.0943
59924.685390 g 16.3333 0.0931
59924.699170 g 16.3243 0.0853
59924.832625 g 16.3163 0.0183
59924.833000 g 16.2390 0.0160
59924.903250 g 16.2838 0.0091
59924.905880 g 16.2711 0.0098
59925.163000 g 16.2070 0.0170
59925.163420 g 16.2570 0.0204
59925.179574 g 16.3202 0.0140
59925.180000 g 16.3110 0.0100
59925.204120 g 16.2920 0.0108
59925.206740 g 16.3030 0.0108
59925.421613 g 16.3357 0.0149
59925.422000 g 16.2880 0.0110
59925.514850 g 16.2893 0.0987
59925.537250 g 16.3070 0.1143
59925.561590 g 16.2803 0.0833
59925.642120 g 16.3165 0.0112
59925.644750 g 16.3124 0.0112
59925.713380 g 16.2832 0.1775
59926.032630 g 16.2638 0.0383
59926.042380 g 16.2930 0.0474
59926.130992 g 16.2939 0.0129
59926.131000 g 16.3170 0.0080
59926.132000 g 16.3080 0.0250
59926.132485 g 16.3234 0.0268
59926.136670 g 16.2717 0.0399
59926.176880 g 16.2580 0.0387
59926.234000 g 16.3100 0.0280
59926.234126 g 16.3103 0.0292
59926.252140 g 16.2977 0.0402
59926.298390 g 16.2899 0.0536
59926.515950 g 16.3832 0.0871
59926.541440 g 16.2999 0.0815
59926.633580 g 16.3146 0.0092
59926.634070 g 16.3033 0.0821
59926.636210 g 16.2644 0.0088
59926.678699 g 16.3458 0.0174
59926.679000 g 16.3300 0.0140
59926.693810 g 16.3441 0.0930
59927.208780 g 16.2956 0.0899
59927.229760 g 16.3612 0.0976
59927.236000 g 16.3480 0.0150
59927.236497 g 16.3481 0.0181
59927.262990 g 16.3647 0.0806
59927.283358 g 16.3664 0.0172
59927.295180 g 16.2949 0.1198
59927.705350 g 16.3558 0.0913
59928.098120 g 16.3109 0.0395
59928.123700 g 16.3778 0.0416
59928.134520 g 16.3239 0.0395
59928.166652 g 16.3750 0.0210
59928.167000 g 16.3740 0.0190
59928.225140 g 16.3928 0.0426
59928.269270 g 16.3660 0.0407
59928.298160 g 16.3721 0.0542
59928.598410 g 16.3939 0.0077
59928.601030 g 16.3930 0.0072
59928.950000 g 16.3570 0.0100
59928.950338 g 16.3875 0.0142
59929.158727 g 16.3773 0.0140
59929.159000 g 16.3570 0.0090
59929.184680 g 16.3054 0.0995
59929.200569 g 16.3864 0.0142
59929.201000 g 16.3530 0.0100
59929.491000 g 16.3660 0.0100
59929.491446 g 16.3892 0.0137
59929.552920 g 16.3938 0.0903
59929.817000 g 16.3780 0.0140
59929.817257 g 16.4032 0.0176
59929.836586 g 16.4008 0.0370
59929.837000 g 16.3880 0.0320
59929.981895 g 16.3992 0.0139
59929.982000 g 16.3500 0.0100
59930.031750 g 16.3145 0.0480
59930.041630 g 16.3029 0.0522
59930.049140 g 16.3157 0.0481
59930.060940 g 16.3940 0.0420
59930.193880 g 16.3869 0.0447
59930.196000 g 16.3960 0.0090
59930.196236 g 16.4057 0.0135
59930.202140 g 16.3659 0.0479
59930.227000 g 16.3690 0.0220
59930.227027 g 16.3810 0.0240
59930.262670 g 16.4049 0.0482
59930.263000 g 16.3840 0.0100
59930.263023 g 16.3944 0.0139
59930.449780 g 16.3907 0.0134
59930.450000 g 16.3650 0.0090
59930.520070 g 16.3727 0.0797
59930.621140 g 16.3779 0.0839
59930.662000 g 16.3750 0.0130
59930.662446 g 16.3861 0.0164
59930.697760 g 16.3781 0.1196
59930.884563 g 16.4040 0.0145
59930.885000 g 16.3490 0.0100
59930.991000 g 16.3630 0.0100
59930.991409 g 16.4029 0.0141
59931.014941 g 16.3928 0.0145
59931.015000 g 16.3550 0.0110
59931.186220 g 16.3909 0.0454
59931.247000 g 16.3910 0.0090
59931.247402 g 16.3930 0.0135
59931.512555 g 16.4297 0.0464
59931.513000 g 16.4570 0.0440
59931.557660 g 16.4052 0.0088
59931.560290 g 16.4114 0.0084
59931.577130 g 16.4469 0.0789
59931.669300 g 16.3842 0.0819
59931.783739 g 16.3946 0.0184
59931.784000 g 16.4250 0.0150
59932.016000 g 16.3840 0.0140
59932.016447 g 16.4184 0.0173
59932.079600 g 16.3645 0.0526
59932.143130 g 16.3501 0.0428
59932.155000 g 16.3590 0.0160
59932.155282 g 16.3625 0.0192
59932.229720 g 16.4415 0.0412
59932.253596 g 16.3984 0.0133
59932.254000 g 16.3440 0.0090
59932.641000 g 16.3800 0.0100
59932.641442 g 16.4170 0.0146
59932.898000 g 16.3710 0.0120
59932.898338 g 16.4193 0.0156
59933.062130 g 16.4191 0.0114
59933.089790 g 16.4400 0.0349
59933.112000 g 16.3860 0.0210
59933.112472 g 16.3921 0.0233
59933.129905 g 16.4122 0.0135
59933.130000 g 16.3930 0.0090
59933.134830 g 16.4172 0.0419
59933.223530 g 16.4121 0.0392
59933.278020 g 16.3533 0.0509
59933.516000 g 16.4060 0.0100
59933.516351 g 16.4133 0.0140
59933.807000 g 16.3840 0.0130
59933.807390 g 16.4103 0.0169
59934.034000 g 16.4060 0.0100
59934.034421 g 16.4188 0.0139
59934.152090 g 16.3759 0.0118
59934.191000 g 16.3780 0.0170
59934.191418 g 16.3872 0.0201
59934.223520 g 16.4298 0.0486
59934.249420 g 16.3987 0.0393
59934.263749 g 16.4375 0.0146
59934.264000 g 16.4180 0.0110
59934.494000 g 16.3660 0.0170
59934.494321 g 16.4316 0.0196
59934.810000 g 16.4100 0.0130
59934.810036 g 16.4248 0.0169
59935.057606 g 16.4446 0.0138
59935.058000 g 16.4310 0.0100
59935.130490 g 16.4572 0.0436
59935.138240 g 16.4114 0.0450
59935.180860 g 16.4630 0.0434
59935.226560 g 16.3873 0.0442
59935.234080 g 16.4255 0.0433
59935.813000 g 16.4580 0.0120
59935.813254 g 16.3975 0.0157
59935.855170 g 16.3866 0.0307
59936.087900 g 16.4267 0.0447
59936.136270 g 16.3984 0.0433
59936.188250 g 16.3891 0.0386
59936.241660 g 16.4351 0.0421
59937.033970 g 16.4589 0.0509
59937.164910 g 16.4365 0.0432
59937.839000 g 16.3550 0.0120
59937.903240 g 16.4105 0.0097
