MJD filter mag dmag
59970.061750 B 17.6353 0.0168
59970.430850 B 17.6145 0.0146
59972.078430 B 17.6469 0.0176
59974.117360 B 17.6867 0.0205
59974.143860 B 17.6857 0.1485
59974.551430 B 17.6857 0.2063
59975.038370 B 17.7083 0.0181
59975.143470 B 17.7469 0.1621
59977.114770 B 17.7892 0.1698
59978.027620 B 17.7950 0.1627
59978.479570 B 17.8299 0.0193
59979.834230 B 17.8428 0.0243
59983.437380 B 17.8380 0.0132
59987.057820 B 17.9302 0.0128
59991.039190 B 17.9588 0.0162
59991.460480 B 17.9232 0.0394
59993.045950 B 18.0258 0.0160
59995.025520 B 18.0582 0.0135
59995.032840 B 18.0060 0.0168
59999.432930 B 18.0945 0.0153
60003.419660 B 18.1421 0.0222
60007.414050 B 18.1508 0.0231
60011.402850 B 18.3177 0.0272
60017.004130 B 18.5011 0.0216
59919.328652 B_S 16.4745 0.0615
59919.738032 B_S 16.3723 0.0363
59919.871413 B_S 16.2595 0.0528
59920.428974 B_S 16.2683 0.0490
59920.738299 B_S 16.2576 0.0659
59921.385020 B_S 16.3626 0.0549
59922.450545 B_S 16.2429 0.0506
59922.781488 B_S 16.2485 0.0505
59923.171195 B_S 16.1543 0.0464
59923.513126 B_S 16.2044 0.0444
59924.366473 B_S 16.2858 0.0520
59924.630901 B_S 16.2482 0.0506
59925.465145 B_S 16.2386 0.0577
59926.792571 B_S 16.2904 0.0493
59927.418199 B_S 16.3135 0.0607
59928.143408 B_S 16.1928 0.0687
59929.747284 B_S 16.2928 0.0532
59930.463233 B_S 16.3738 0.0564
59931.462698 B_S 16.3457 0.0724
59932.721492 B_S 16.4846 0.0577
59933.454712 B_S 16.4974 0.0558
59934.742836 B_S 16.5858 0.0616
59935.672015 B_S 16.6390 0.0786
59936.629069 B_S 16.7029 0.0658
59937.330276 B_S 16.5684 0.0624
59938.321734 B_S 16.7526 0.0618
59939.677676 B_S 16.7375 0.0606
59940.482382 B_S 16.8183 0.0716
59941.364352 B_S 16.9230 0.0686
59944.639815 B_S 17.0546 0.0839
59946.302623 B_S 17.0299 0.0811
59919.091317 DLT40 16.5406 0.0252
59919.153029 DLT40 16.5494 0.0270
59919.155122 DLT40 16.5208 0.0257
59919.157175 DLT40 16.4979 0.0238
59919.167968 DLT40 16.5501 0.0399
59919.168862 DLT40 16.5040 0.0209
59919.244882 DLT40 16.5467 0.0466
59919.284840 DLT40 16.5366 0.0257
59919.316043 DLT40 16.5254 0.0401
59919.506711 DLT40 16.5165 0.0188
59919.540471 DLT40 16.4188 0.0196
59919.585199 DLT40 16.3561 0.0175
59919.616941 DLT40 16.4328 0.0178
59919.629005 DLT40 16.4671 0.0274
59919.666675 DLT40 16.4291 0.0236
59919.690653 DLT40 16.4513 0.0204
59919.729850 DLT40 16.4690 0.0301
59919.775089 DLT40 16.5420 0.0420
59920.031464 DLT40 16.3452 0.0181
59920.059820 DLT40 16.3394 0.0495
59920.059821 DLT40 16.3962 0.0293
59920.081312 DLT40 16.4086 0.0161
59920.116969 DLT40 16.4144 0.0129
59920.192833 DLT40 16.2649 0.0160
59920.193670 DLT40 16.3340 0.0146
59920.227377 DLT40 16.3941 0.0209
59920.243099 DLT40 16.3892 0.0153
59920.243904 DLT40 16.4198 0.0173
59921.563844 DLT40 16.1798 0.0134
59921.610765 DLT40 16.2232 0.0222
59921.622112 DLT40 16.2882 0.0277
